year,utc_hour,observations,movement_events,event_rate,event_rate_percent
2021,0,360,46,0.12777777777777777,12.777777777777777
2021,1,361,24,0.0664819944598338,6.64819944598338
2021,2,359,21,0.0584958217270195,5.8495821727019495
2021,3,358,25,0.06983240223463687,6.983240223463687
2021,4,358,15,0.04189944134078212,4.189944134078212
2021,5,359,14,0.03899721448467967,3.8997214484679668
2021,6,359,17,0.04735376044568245,4.735376044568245
2021,7,358,20,0.055865921787709494,5.58659217877095
2021,8,358,31,0.08659217877094973,8.659217877094973
2021,9,358,29,0.08100558659217877,8.100558659217876
2021,10,358,33,0.09217877094972067,9.217877094972067
2021,11,358,16,0.0446927374301676,4.4692737430167595
2021,12,358,37,0.10335195530726257,10.335195530726256
2021,13,358,35,0.09776536312849161,9.776536312849162
2021,14,358,41,0.11452513966480447,11.452513966480447
2021,15,358,33,0.09217877094972067,9.217877094972067
2021,16,358,26,0.07262569832402235,7.262569832402235
2021,17,358,21,0.05865921787709497,5.865921787709497
2021,18,358,21,0.05865921787709497,5.865921787709497
2021,19,358,20,0.055865921787709494,5.58659217877095
2021,20,359,34,0.0947075208913649,9.47075208913649
2021,21,359,14,0.03899721448467967,3.8997214484679668
2021,22,359,22,0.06128133704735376,6.128133704735376
2021,23,360,24,0.06666666666666667,6.666666666666667
2022,0,365,39,0.10684931506849316,10.684931506849315
2022,1,365,27,0.07397260273972603,7.397260273972603
2022,2,365,15,0.0410958904109589,4.10958904109589
2022,3,365,13,0.03561643835616438,3.5616438356164384
2022,4,365,16,0.043835616438356165,4.383561643835616
2022,5,365,15,0.0410958904109589,4.10958904109589
2022,6,365,20,0.0547945205479452,5.47945205479452
2022,7,365,17,0.04657534246575343,4.657534246575342
2022,8,365,21,0.057534246575342465,5.7534246575342465
2022,9,365,21,0.057534246575342465,5.7534246575342465
2022,10,365,17,0.04657534246575343,4.657534246575342
2022,11,365,31,0.08493150684931507,8.493150684931507
2022,12,365,52,0.14246575342465753,14.246575342465754
2022,13,365,81,0.2219178082191781,22.19178082191781
2022,14,365,87,0.23835616438356164,23.835616438356162
2022,15,365,70,0.1917808219178082,19.17808219178082
2022,16,365,58,0.1589041095890411,15.890410958904111
2022,17,365,41,0.11232876712328767,11.232876712328768
2022,18,365,47,0.12876712328767123,12.876712328767123
2022,19,365,37,0.10136986301369863,10.136986301369863
2022,20,365,39,0.10684931506849316,10.684931506849315
2022,21,365,38,0.10410958904109589,10.41095890410959
2022,22,365,46,0.12602739726027398,12.602739726027398
2022,23,365,39,0.10684931506849316,10.684931506849315
2023,0,364,39,0.10714285714285714,10.714285714285714
2023,1,364,41,0.11263736263736264,11.263736263736265
2023,2,364,33,0.09065934065934066,9.065934065934066
2023,3,364,19,0.0521978021978022,5.21978021978022
2023,4,364,10,0.027472527472527472,2.7472527472527473
2023,5,364,12,0.03296703296703297,3.296703296703297
2023,6,364,10,0.027472527472527472,2.7472527472527473
2023,7,364,11,0.03021978021978022,3.021978021978022
2023,8,364,16,0.04395604395604396,4.395604395604396
2023,9,364,24,0.06593406593406594,6.593406593406594
2023,10,365,20,0.0547945205479452,5.47945205479452
2023,11,365,24,0.06575342465753424,6.575342465753424
2023,12,364,47,0.12912087912087913,12.912087912087914
2023,13,364,66,0.1813186813186813,18.13186813186813
2023,14,364,107,0.29395604395604397,29.395604395604398
2023,15,364,107,0.29395604395604397,29.395604395604398
2023,16,364,82,0.22527472527472528,22.52747252747253
2023,17,364,72,0.1978021978021978,19.78021978021978
2023,18,364,63,0.17307692307692307,17.307692307692307
2023,19,364,59,0.1620879120879121,16.208791208791208
2023,20,364,42,0.11538461538461539,11.538461538461538
2023,21,364,44,0.12087912087912088,12.087912087912088
