statistic,value
observations,43647.0
mean,0.3096422693571688
median,0.2408566962542079
standard_deviation,0.2685447045412763
minimum,0.0138910521461673
percentile_25,0.15282572237482817
percentile_75,0.3751715902458592
percentile_90,0.5790421240477712
percentile_95,0.7648769795474848
percentile_99,1.3597357923646889
maximum,7.103128732248924
skewness,4.337384093155513
movement_events,3998.0
movement_event_rate_percent,9.159850619744772
