year,highest_rate_hour,highest_event_rate_percent,lowest_rate_hour,lowest_event_rate_percent,highest_lowest_difference_pp
2021,0,12.777777777777777,5,3.8997214484679668,8.87805632930981
2022,14,23.835616438356162,3,3.5616438356164384,20.273972602739725
2023,14,29.395604395604398,4,2.7472527472527473,26.64835164835165
2024,14,31.420765027322407,5,1.092896174863388,30.32786885245902
2025,14,31.232876712328768,5,1.095890410958904,30.136986301369863
