utc_hour,all_observations,all_events,all_event_rate,all_median_ratio,gap_safe_observations,gap_safe_events,gap_safe_event_rate,gap_safe_median_ratio,strict_observations,strict_events,strict_event_rate,strict_median_ratio,gap_safe_rate_difference,strict_rate_difference,absolute_gap_safe_difference,absolute_strict_difference,excluded_gap_safe_rows,excluded_strict_rows
0,1825,181.0,9.917808219178083,0.2596241715656923,1820,180.0,9.89010989010989,0.2596655560398665,1820,180.0,9.89010989010989,0.2596655560398665,-0.02769832906819225,-0.02769832906819225,0.02769832906819225,0.02769832906819225,5,5
1,1825,152.0,8.32876712328767,0.2378757891283721,1821,152.0,8.347062053816584,0.2378757891283721,1818,152.0,8.360836083608362,0.2378721183156908,0.01829493052891351,0.032068960320691176,0.01829493052891351,0.032068960320691176,4,7
2,1822,122.0,6.695938529088913,0.209867575470027,1819,122.0,6.706981858163827,0.2097798830391247,1818,122.0,6.710671067106711,0.209867575470027,0.011043329074913899,0.014732538017797836,0.011043329074913899,0.014732538017797836,3,4
3,1822,80.0,4.390779363336993,0.18208222448675243,1818,80.0,4.400440044004401,0.1821784073319545,1817,80.0,4.4028618602091365,0.1821589205911337,0.009660680667407995,0.0120824968721438,0.009660680667407995,0.0120824968721438,4,5
4,1822,62.0,3.4028540065861685,0.1823371099144257,1818,62.0,3.4103410341034106,0.1823371099144257,1818,62.0,3.4103410341034106,0.1823371099144257,0.007487027517242062,0.007487027517242062,0.007487027517242062,0.007487027517242062,4,4
5,1823,49.0,2.687877125617115,0.179547319978535,1819,49.0,2.6937877954920286,0.179547319978535,1819,49.0,2.6937877954920286,0.179547319978535,0.005910669874913843,0.005910669874913843,0.005910669874913843,0.005910669874913843,4,4
6,1824,70.0,3.8377192982456143,0.18832741345593415,1819,69.0,3.7932930181418363,0.1884180819991619,1818,69.0,3.7953795379537953,0.18832741345593415,-0.044426280103778026,-0.04233976029181896,0.044426280103778026,0.04233976029181896,5,6
7,1823,79.0,4.333516182117389,0.195687335579862,1818,79.0,4.3454345434543455,0.1957646590300075,1818,79.0,4.3454345434543455,0.1957646590300075,0.011918361336956451,0.011918361336956451,0.011918361336956451,0.011918361336956451,5,5
8,1824,101.0,5.537280701754386,0.22093756735545178,1818,101.0,5.555555555555555,0.22056378644373736,1818,101.0,5.555555555555555,0.22056378644373736,0.018274853801169222,0.018274853801169222,0.018274853801169222,0.018274853801169222,6,6
9,1825,114.0,6.2465753424657535,0.2065429416453429,1818,114.0,6.270627062706271,0.20631475654092063,1818,114.0,6.270627062706271,0.20631475654092063,0.02405172024051705,0.02405172024051705,0.02405172024051705,0.02405172024051705,7,7
