open_time,open,high,low,close,volume,close_time,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,bb_basis,bb_standard_deviation,bb_upper,bb_lower,pvo_fast_volume_ema,pvo_slow_volume_ema,pvo,pvo_signal,pvo_histogram
2023-10-15 00:00:00+00:00,26852.48,27293.33,26808.25,27154.15,15274.6917,2023-10-15 23:59:59.999000+00:00,412673965.3439348,682942,7802.69243,210833694.13443273,,,,,15274.6917,15274.6917,0.0,0.0,0.0
2023-10-16 00:00:00+00:00,27154.14,30000.0,27112.66,28500.78,78399.22445,2023-10-16 23:59:59.999000+00:00,2210785548.236096,2289339,40738.04173,1148700588.6793344,,,,,24986.158276923077,19950.583014814812,25.240241141669745,5.04804822833395,20.192192913335795
2023-10-17 00:00:00+00:00,28500.77,28613.65,28069.32,28395.91,38428.44532,2023-10-17 23:59:59.999000+00:00,1090741746.4830873,1345810,18994.06799,539218488.3415859,,,,,27054.20243739645,21319.31355593964,26.89996967495723,9.418432517658607,17.481537157298625
2023-10-18 00:00:00+00:00,28395.91,28982.36,28142.87,28320.0,32162.47591,2023-10-18 23:59:59.999000+00:00,914773525.1527581,1215235,15590.14442,443515753.8170772,,,,,27840.09066395084,22122.51076735152,25.845076794074135,12.703761372941713,13.141315421132422
2023-10-19 00:00:00+00:00,28320.0,28916.89,28100.66,28713.71,35895.50179,2023-10-19 23:59:59.999000+00:00,1023984017.0322788,1330256,18427.23743,525695852.56325006,,,,,29079.38468334302,23142.73232458474,25.65233990306201,15.293477078965772,10.358862824096239
2023-10-20 00:00:00+00:00,28713.71,30207.55,28578.29,29669.04,59422.0992,2023-10-20 23:59:59.999000+00:00,1753411192.5510907,1915748,29466.75927,869634841.3281221,,,,,33747.49460898255,25830.092833874758,30.651851799481552,18.36515202306893,12.286699776412622
2023-10-21 00:00:00+00:00,29669.05,30379.99,29464.77,29909.8,27517.51897,2023-10-21 23:59:59.999000+00:00,821964508.4353629,1152137,13836.12444,413323530.3421796,,,,,32789.03681836985,25955.08736247663,26.329903500047898,19.958102318464725,6.371801181583173
2023-10-22 00:00:00+00:00,29909.8,30248.0,29640.0,29992.46,22852.54563,2023-10-22 23:59:59.999000+00:00,683854827.8969324,1008299,11161.46844,334011129.2314961,,,,,31260.345866312953,25725.26945636725,21.516106641113222,20.269703182994427,1.2464034581187953
2023-10-23 00:00:00+00:00,29992.46,34741.91,29883.6,33069.99,93513.64246,2023-10-23 23:59:59.999000+00:00,2941620022.865188,2839938,47839.23087,1505815243.5676997,,,,,40837.77611149558,30746.630419599303,32.820330404283,22.779828627252144,10.040501777030855
2023-10-24 00:00:00+00:00,33069.99,35280.0,32832.34,33922.73,115265.02418,2023-10-24 23:59:59.999000+00:00,3933194868.1611967,2850160,57409.31981,1959449469.465793,,,,,52288.12196818856,37007.25217962898,41.29155473199681,26.48217384820108,14.809380883795733
2023-10-25 00:00:00+00:00,33922.73,35132.85,33679.05,34496.05,54887.02529,2023-10-25 23:59:59.999000+00:00,1888210825.6063828,1643976,26150.50377,900236395.3726264,,,,,52687.95324846724,38331.67981743424,37.452763613306075,28.676291801222078,8.776471812083997
2023-10-26 00:00:00+00:00,34496.05,34824.13,33751.0,34151.66,39744.66255,2023-10-26 23:59:59.999000+00:00,1363077907.10912,1382785,18528.43061,635547858.4928182,,,,,50696.67775639536,38436.3452050317,31.897758452223133,29.32058513142229,2.577173320800842
2023-10-27 00:00:00+00:00,34151.66,34245.0,33390.95,33892.02,32330.40106,2023-10-27 23:59:59.999000+00:00,1096889423.419842,1112240,14310.32429,485405697.92440146,,,,,47871.096726180695,37984.05304614046,26.029459436648633,28.66235999246756,-2.632900555818928
2023-10-28 00:00:00+00:00,33892.01,34493.33,33860.0,34081.0,16880.13144,2023-10-28 23:59:59.999000+00:00,575936523.347353,607438,8313.30759,283656619.58636194,,,,,43103.255912922126,36420.79959383376,18.34791216450871,26.59947042687579,-8.25155826236708
2023-10-29 00:00:00+00:00,34081.01,34750.11,33930.0,34525.89,20685.52176,2023-10-29 23:59:59.999000+00:00,711652985.1790963,717480,10053.96096,345933681.79684675,,,,,39654.37373554949,35255.22345799422,12.47800991191206,23.775178323883047,-11.297168411970986
