feature,coefficient,absolute_coefficient
bb_basis_distance,-0.3207856188868701,0.3207856188868701
pvo_signal,-0.1967809776674055,0.1967809776674055
bb_position,0.1917492511978424,0.1917492511978424
bb_width,0.17806234985366365,0.17806234985366365
pvo_histogram,0.10400391935382987,0.10400391935382987
pvo,-0.09736705191860966,0.09736705191860966
