open_time,close,future_close,future_return,target,probability,prediction,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2026-07-02 16:00:00+00:00,61682.34,61761.36,0.0012810798033926485,0,0.2578196194247586,0,0.0,0.0012810798033926485,1.0,1.0012810798033926
2026-07-02 18:00:00+00:00,61761.36,61584.78,-0.002859069165575434,0,0.2540578746453637,0,0.0,-0.002859069165575434,1.0,0.9984183479420526
2026-07-02 20:00:00+00:00,61584.78,61465.26,-0.0019407392540818913,0,0.2725517349129186,0,0.0,-0.0019407392540818913,1.0,0.9964806782622059
2026-07-02 22:00:00+00:00,61465.26,61308.75,-0.002546316407024074,0,0.29857730832541535,0,0.0,-0.002546316407024074,1.0,0.9939433231618643
2026-07-03 00:00:00+00:00,61308.75,61440.01,0.00214096682773679,1,0.33712758085578826,0,0.0,0.00214096682773679,1.0,0.9960713228454043
2026-07-03 02:00:00+00:00,61440.01,61448.0,0.00013004555175033516,0,0.34432822088284754,0,0.0,0.00013004555175033516,1.0,0.9962008574901664
2026-07-03 04:00:00+00:00,61448.0,61710.01,0.004263930477802491,1,0.3166781838091478,0,0.0,0.004263930477802491,1.0,1.0004485886884318
2026-07-03 06:00:00+00:00,61710.01,61584.0,-0.002041970176313357,0,0.3403875619788524,0,0.0,-0.002041970176313357,1.0,0.9984057025073952
2026-07-03 08:00:00+00:00,61584.0,61916.46,0.005398480124707783,1,0.3138242024679705,0,0.0,0.005398480124707783,1.0,1.0037955758487764
2026-07-03 10:00:00+00:00,61916.46,61983.99,0.0010906631289966384,0,0.356447748044263,0,0.0,0.0010906631289966384,1.0,1.0048903786724046
2026-07-03 12:00:00+00:00,61983.99,62167.48,0.0029602805498647466,1,0.3522335011376678,0,0.0,0.0029602805498647466,1.0,1.0078651361151347
2026-07-03 14:00:00+00:00,62167.48,62104.81,-0.0010080833258804267,0,0.34803869606025273,0,0.0,-0.0010080833258804267,1.0,1.0068491240766808
2026-07-03 16:00:00+00:00,62104.81,62204.01,0.0015972997904671882,0,0.3335354438818033,0,0.0,0.0015972997904671882,1.0,1.0084573639716006
2026-07-03 18:00:00+00:00,62204.01,62776.92,0.00921017792904344,1,0.3364038520850318,0,0.0,0.00921017792904344,1.0,1.0177454357276332
2026-07-03 20:00:00+00:00,62776.92,62578.0,-0.0031686804640941313,0,0.34673619712921183,0,0.0,-0.0031686804640941313,1.0,1.014520525648022
2026-07-03 22:00:00+00:00,62578.0,62756.29,0.002849084342740227,1,0.33754019967826027,0,0.0,0.002849084342740227,1.0,1.0174109801930344
2026-07-04 00:00:00+00:00,62756.29,62538.96,-0.003463079159077176,0,0.33263962939152847,0,0.0,-0.003463079159077176,1.0,1.0138876054313117
2026-07-04 02:00:00+00:00,62538.96,62700.0,0.002575034826290734,1,0.33050284289990395,0,0.0,0.002575034826290734,1.0,1.0164984013252418
2026-07-04 04:00:00+00:00,62700.0,62500.01,-0.0031896331738436867,0,0.3323980938319952,0,0.0,-0.0031896331738436867,1.0,1.0132561443032158
2026-07-04 06:00:00+00:00,62500.01,62553.78,0.0008603198623486907,0,0.3362498213048081,0,0.0,0.0008603198623486907,1.0,1.0141278686898068
2026-07-04 08:00:00+00:00,62553.78,62513.0,-0.0006519190367072492,0,0.3406442270774427,0,0.0,-0.0006519190367072492,1.0,1.0134667394265524
2026-07-04 10:00:00+00:00,62513.0,62664.01,0.002415657543231031,1,0.34197076364446755,0,0.0,0.002415657543231031,1.0,1.015914928000462
2026-07-04 12:00:00+00:00,62664.01,62693.99,0.00047842453746560487,0,0.35430150555480205,0,0.0,0.00047842453746560487,1.0,1.0164009666299951
2026-07-04 14:00:00+00:00,62693.99,62927.29,0.0037212498359093793,1,0.36888184538936986,0,0.0,0.0037212498359093793,1.0,1.020183248560285
2026-07-04 16:00:00+00:00,62927.29,63172.78,0.0039011691112074143,1,0.3952612869873291,0,0.0,0.0039011691112074143,1.0,1.0241631559373396
2026-07-04 18:00:00+00:00,63172.78,63233.78,0.000965605756150012,0,0.361868577086464,0,0.0,0.000965605756150012,1.0,1.0251520937759495
2026-07-04 20:00:00+00:00,63233.78,63184.99,-0.0007715812655830767,0,0.33743024634139634,0,0.0,-0.0007715812655830767,1.0,1.0243611056260187
2026-07-04 22:00:00+00:00,63184.99,62991.29,-0.0030656014980772195,0,0.33209555661318124,0,0.0,-0.0030656014980772195,1.0,1.0212208226860395
2026-07-05 00:00:00+00:00,62991.29,62693.56,-0.0047265264769145166,0,0.3207633477850543,0,0.0,-0.0047265264769145166,1.0,1.0163939954288375
2026-07-05 02:00:00+00:00,62693.56,62815.99,0.0019528321569233231,0,0.3059410616821545,0,0.0,0.0019528321569233231,1.0,1.0183788423072146
2026-07-05 04:00:00+00:00,62815.99,62782.18,-0.0005382387509931252,0,0.3035178436252641,0,0.0,-0.0005382387509931252,1.0,1.0178307113510934
